Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Checkout Blocks Rule Trigger (product.metafields.checkoutblocks.trigger),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Play vehicle propulsion (product.metafields.shopify.play-vehicle-propulsion),Recommended age group (product.metafields.shopify.recommended-age-group),Skill level (product.metafields.shopify.skill-level),Suitable space (product.metafields.shopify.suitable-space),Toy figure features (product.metafields.shopify.toy-figure-features),Toy/Game material (product.metafields.shopify.toy-game-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
71-mustang-funny-car-red-hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/Hot_Wheels_2025_Case_H_71_Mustang_Funny_Car_Red_-_International_Card_1750_1.webp?v=1761818484,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-hw-chevy-el-camino,2025 HW CHEVY EL CAMINO,"<p><span>Bring cinematic muscle to your collection with the <strong>2025 Hot Wheels Chevy El Camino</strong> from the HW Screen Time Series. Inspired by the Fast &amp; Furious franchise, this 1:64 scale diecast model features a sleek black finish, aggressive stance, and authentic detailing. It’s part of the 9/10 release in the Screen Time lineup and numbered 147/250, making it a standout for collectors and movie car enthusiasts alike.</span></p>
<ul>
<li><span><strong>Model:</strong> Chevy El Camino</span></li>
<li><span><strong>Series:</strong> HW Screen Time 9/10</span></li>
<li><span><strong>Edition:</strong> Fast &amp; Furious</span></li>
<li><span><strong>Scale:</strong> 1:64</span></li>
<li><span><strong>Color:</strong> Black</span></li>
<li><span><strong>Material:</strong> Diecast</span></li>
<li><span><strong>Year of Manufacture:</strong> 2025</span></li>
<li><span><strong>Packaging:</strong> International Card</span></li>
<li><span><strong>Condition:</strong> New, unopened</span></li>
<li><span><strong>Country of Manufacture:</strong> Malaysia</span></li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","2025 Hot Wheels release, black El Camino toy, El Camino diecast car, Fast & Furious El Camino, Hot Wheels 147/250, Hot Wheels Chevy El Camino, Hot Wheels Fast & Furious series, Hot Wheels international card, HW Screen Time 2025",true,Title,Default Title,,,,,,,,,200.0,shopify,3,deny,manual,550.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/2025HOTWHEELSCHEVYELCAMINOSeriesHWSCREENTIMEFASTANDFURIOUS0.webp?v=1761818225,1,"",false,,,3551,,,,,,,,,,,,,black,push-and-go,3-years-or-older,,,,plastic; metal,,kg,,,active
23-ram-1500-blue-hw,23 Ram 1500 Blue HW,"<ul>
<li>Hot Wheels FACTORY FRESH series</li>
<li>Feature || Diecast</li>
<li>Recommended for children 3+ years old</li>
<li>Colour || Hydro Blue (97/250)</li>
<li>Scale || 1:64</li>
<li>Made in Malaysia<strong></strong>
</li>
</ul>
<p><strong>*Measurement advertised is for guidance only. Allow tolerance of 1-5mm<br>*Blister cardboard has physical bends &amp; folds visible<br></strong><strong>*Blister cardboard cutting edge might not be perfect</strong></p>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","",true,Title,Default Title,,,,,,,,,200.0,shopify,3,deny,manual,450.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HOTWHEELS_FACTORYFRESH_23_RAM_1500_BLUE_1_1024x1024_e0e9c88a-6f6c-4518-81d6-950d9307a46e.webp?v=1761816241,1,"",false,,,3551,,,,,,,,,,,,,blue,push-and-go,3-years-or-older,,,,plastic; metal,,kg,,,active
2024-copper-delorean-alpha5-hw,2024 Copper DeLorean Alpha5 HW,"<p><span>Step into the future with the <strong>Hot Wheels 2024 Copper DeLorean Alpha5</strong>, a sleek 1:64 scale diecast model from the HW Green Speed Series. Featuring a rich copper finish, futuristic curves, and signature DeLorean styling, this collectible captures the spirit of innovation and speed. Packaged in a mainline card (#85/250), it’s perfect for fans of electric vehicles, sci-fi aesthetics, and Hot Wheels heritage.</span></p>
<ul>
<li><span><strong>Model:</strong> DeLorean Alpha5</span></li>
<li><span><strong>Series:</strong> HW Green Speed 7/10</span></li>
<li><span><strong>Scale:</strong> 1:64</span></li>
<li><span><strong>Color:</strong> Copper</span></li>
<li><span><strong>Material:</strong> Diecast &amp; Plastic</span></li>
<li><span><strong>Year of Manufacture:</strong> 2024</span></li>
<li><span><strong>Packaging:</strong> Unopened Box</span></li>
<li><span><strong>Condition: </strong>New</span></li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","1:64 scale DeLorean, Copper DeLorean 2024, DeLorean Alpha5 collectible, DeLorean diecast model, futuristic Hot Wheels car, Hot Wheels 2024 release, Hot Wheels DeLorean Alpha5, Hot Wheels electric car, Hot Wheels mainline #85, HW Green Speed 7/10",true,Title,Default Title,,,,,,,,,200.0,shopify,2,deny,manual,530.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/NEWHotWheelsGreenSpeed7_10OrangeDeloreanAlpha582_250FreeShipping0.webp?v=1761808329,1,"",false,,,3551,,,,,,,,,,,,,bronze,push-and-go,3-years-or-older,,,,metal; plastic,,kg,,,active
69-mercury-cyclone-hw,69 Mercury Cyclone HW,"<p>Hot Wheels 2025 Case G – ’69 Mercury Cyclone Muscle Mania Series</p>
<p><span>Unleash classic American muscle with the <strong>Hot Wheels 2025 ’69 Mercury Cyclone</strong> from Case G of the Muscle Mania Series. This 1:64-scale die-cast model features a bold red finish, an aggressive stance, and authentic detailing true to the 1969 Mercury Cyclone legacy. Packaged in a mainline international card, it’s a must-have for collectors who appreciate vintage power and Hot Wheels precision.</span></p>
<ul>
<li><span><strong>Model:</strong> ’69 Mercury Cyclone</span></li>
<li><span><strong>Series:</strong> Muscle Mania</span></li>
<li><span><strong>Scale:</strong> 1:64</span></li>
<li><span><strong>Color:</strong> Red</span></li>
<li><span><strong>Material:</strong> Cast Iron</span></li>
<li><span><strong>Year of Manufacture:</strong> 2025</span></li>
<li><span><strong>Vehicle Year:</strong> 1969</span></li>
<li><span><strong>MPN:</strong> HYY61</span></li>
<li><span><strong>Features:</strong> Unopened Box</span></li>
<li><span><strong>Condition:</strong> New</span></li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","1:64 scale Mercury, Case G Hot Wheels, diecast American classic, Hot Wheels 69 Mercury Cyclone, Hot Wheels mainline 2025, HYY61 diecast car, Mercury Cyclone collectible, Muscle Mania 2025, red Mercury Cyclone, vintage muscle car toy",true,Title,Default Title,,,,,,,,,200.0,shopify,3,deny,manual,530.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HotWheels69MercuryCyclone0.webp?v=1761807968,1,"",false,,,3551,,,,,,,,,,,,,striped,push-and-go,3-years-or-older,,,,metal,,kg,,,active
2025-case-g-honda-cb750-cafe-hw,2025 Case G Honda CB750 Cafe HW,"<p><span>Capture the spirit of vintage Japanese engineering with the <strong>Hot Wheels 2025 Honda CB750 Cafe</strong> from Case G of the HW Moto Series. This 1:64 scale diecast model pays tribute to the legendary CB750, featuring sleek black paint, café racer styling, and authentic detailing. Packaged on an international card (#150), it’s a must-have for motorcycle collectors and Hot Wheels enthusiasts alike.</span></p>
<ul>
<li>
<p><span><strong>Model:</strong> Honda CB750 Cafe</span></p>
</li>
<li>
<p><span><strong>Series:</strong> HW Moto</span></p>
</li>
<li>
<p><span><strong>Scale:</strong> 1:64</span></p>
</li>
<li>
<p><span><strong>Color:</strong> Black</span></p>
</li>
<li>
<p><span><strong>Material:</strong> Diecast</span></p>
</li>
<li>
<p><span><strong>Year of Manufacture:</strong> 2025</span></p>
</li>
<li>
<p><span><strong>Packaging:</strong> International Card #150</span></p>
</li>
<li>
<p><span><strong>Condition:</strong> New, unopened</span></p>
</li>
<li>
<p><span><strong>Country of Manufacture:</strong> Malaysia</span></p>
</li>
<li>
<p><span><strong>Recommended Age:</strong> 3+</span></p>
</li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Motorcycles,"","1:64 Honda motorcycle, black Hot Wheels bike, CB750 Cafe Racer, diecast cafe racer, Honda CB750 collectible, Hot Wheels Case G 2025, Hot Wheels Honda CB750, Hot Wheels international card, HW Moto Series, vintage motorcycle model",true,Title,Default Title,,,,,,,,,0.0,shopify,3,deny,manual,530.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HotWheels2025CaseGHondaCB750CafeHWMoto-InternationalCard_1500_1.webp?v=1761805631,1,"",false,,,3590,,,,,,,,,,,,,black,push-and-go,3-years-or-older,,,,plastic; metal,,kg,,,active
15-land-rover-defender-double-cab-hw,15 LAND ROVER DEFENDER DOUBLE CAB HW,"<p><span>Conquer rugged terrain in miniature with the <strong>2025 Hot Wheels '15 Land Rover Defender Double Cab</strong> from Case J of the HW Dirt Series. This 1:64 scale diecast model features a bold maroon finish, off-road detailing, and authentic Land Rover styling. Built for collectors and adventure lovers alike, it’s a standout addition to any Hot Wheels lineup.</span></p>
<ul>
<li>
<p><span><strong>Model:</strong> 2015 Land Rover Defender Double Cab</span></p>
</li>
<li>
<p><span><strong>Series:</strong> HW Dirt</span></p>
</li>
<li>
<p><span><strong>Scale:</strong> 1:64</span></p>
</li>
<li>
<p><span><strong>Color:</strong> Maroon</span></p>
</li>
<li>
<p><span><strong>Material:</strong> Diecast</span></p>
</li>
<li>
<p><span><strong>Packaging:</strong> New, unopened</span></p>
</li>
<li>
<p><span><strong>Country of Manufacture:</strong> Malaysia</span></p>
</li>
<li>
<p><span><strong>Recommended Age: 3+</strong></span></p>
</li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Cars,"","1:64 Land Rover diecast, 2025 Hot Wheels new release, Hot Wheels Case J, Hot Wheels Defender 2025, Hot Wheels Malaysia edition, Hot Wheels off-road truck, HW Dirt Series, Land Rover collectible, Land Rover Double Cab, maroon Defender toy car",true,Title,Default Title,,,,,,,,,200.0,shopify,3,deny,manual,530.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/2025HOTWHEELSMAINLINECASEJ_15LANDROVERDEFENDERDOUBLECABHWDIRT0.webp?v=1761805478,1,"",false,,,3551,,,,,,,,,,,,,red; black,push-and-go,3-years-or-older,,,,metal; plastic,,kg,,,active
15-land-rover-defender-double-cab-hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/2025HOTWHEELSMAINLINECASEJ_15LANDROVERDEFENDERDOUBLECABHWDIRT3.webp?v=1761805478,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-land-rover-defender-double-cab-hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/2025HOTWHEELSMAINLINECASEJ_15LANDROVERDEFENDERDOUBLECABHWDIRT1.webp?v=1761805347,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-land-rover-defender-double-cab-hw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/2025HOTWHEELSMAINLINECASEJ_15LANDROVERDEFENDERDOUBLECABHWDIRT2.webp?v=1761805347,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-96-vespa-90-ss-super-sprint-hw,2025 '96 Vespa 90 SS Super Sprint HW,"<p><span>Celebrate Italian scooter heritage with this 1:64 scale <strong>Hot Wheels '96 Vespa 90 SS Super Sprint</strong> from the 2025 Case J release. Featuring the iconic HW Moto styling, this diecast model captures the sleek curves and vintage charm of the 1966 Vespa 90 SS. Packaged on a mint international card (#171), it’s perfect for collectors who appreciate classic two-wheelers and Hot Wheels history.</span></p>
<ul>
<li>
<p><span><strong>Brand:</strong> Hot Wheels</span></p>
</li>
<li>
<p><span><strong>Model:</strong> Vespa 90 SS Super Sprint (1996 edition)</span></p>
</li>
<li>
<p><span><strong>Series:</strong> HW Moto</span></p>
</li>
<li>
<p><span><strong>Scale:</strong> 1:64</span></p>
</li>
<li>
<p><span><strong>Year of Manufacture:</strong> 2025</span></p>
</li>
<li>
<p><span><strong>Vehicle Year:</strong> 1966</span></p>
</li>
<li>
<p><span><strong>Material:</strong> Diecast</span></p>
</li>
<li>
<p><span><strong>Packaging:</strong> Mint International Card #171</span></p>
</li>
<li>
<p><span><strong>Condition:</strong> New</span></p>
</li>
</ul>",Hot Wheels,Toys & Games > Toys > Play Vehicles > Toy Motorcycles,"","1:64 scale Vespa, Hot Wheels Case J 2025, Hot Wheels international card, Hot Wheels mint card, Hot Wheels Vespa 90 SS, HW Moto Vespa, Vespa 90 SS collectible, Vespa diecast scooter, Vespa Super Sprint 1966, vintage Vespa model",true,Title,Default Title,,,,,,,,,200.0,shopify,3,deny,manual,530.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/HotWheelsCaseJ2025_96Vespa90SSSuperSprintHWMotoNewMintCard_1710.webp?v=1761805090,1,"",false,,,3590,,,,,,,,,,,,,white,push-and-go,3-years-or-older,,,,plastic; metal,,kg,,,active
m2-machines-1964-ford-econoline-delivery-van-dinty-moore,M2 MACHINES 1964 FORD ECONOLINE DELIVERY VAN DINTY MOORE,"<p><span>This is a <strong>1:64 scale diecast model</strong> of the classic 1964 Ford Econoline Delivery Van, part of the M2 Machines series. It features the iconic <strong>Dinty Moore branding</strong>, a red body, and comes in <strong>new, unopened condition</strong>. The model includes a display stand and is part of a limited edition release, making it a collectible for diecast enthusiasts and vintage delivery van fans.</span></p>
<ul>
<li>
<p><span><strong>Brand:</strong> M2 Machines</span></p>
</li>
<li>
<p><span><strong>Model:</strong> Ford Econoline Delivery Van</span></p>
</li>
<li>
<p><span><strong>Theme:</strong> Dinty Moore</span></p>
</li>
<li>
<p><span><strong>Scale:</strong> 1:64</span></p>
</li>
<li>
<p><span><strong>Color:</strong> Red</span></p>
</li>
<li>
<p><span><strong>Material:</strong> Diecast</span></p>
</li>
<li>
<p><span><strong>Features:</strong> Limited Edition, With Stand, Unopened Box</span></p>
</li>
<li>
<p><span><strong>Condition:</strong> New</span></p>
</li>
<li>
<p><span><strong>Year:</strong> 1964</span></p>
</li>
</ul>",M2 Machines,Toys & Games > Toys > Play Vehicles > Toy Cars,"","1964 Ford Van, 1:64 scale van, collectible diecast van, diecast delivery van, Dinty Moore diecast, Ford Econoline, limited edition diecast, M2 Machines, red Ford Econoline, vintage Ford model",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,1390.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0949/7221/5612/files/IMG_20250822_212320.jpg?v=1761801791,1,"",false,,,3551,,,,,,,,,,,,,red; blue; white,,8-years-or-older,,,,metal,,kg,,,active
m2-machines-1964-ford-econoline-delivery-van-dinty-moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/1688_image_share_94c045b767c0511f7ea0d45046d025c0.jpg?v=1761801791,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-machines-1964-ford-econoline-delivery-van-dinty-moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/M2_Details_1964_Ford_Econoline_Delivery_Van_Dinty_Moore_1_64_Die_Cast_Car0.webp?v=1761801791,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-machines-1964-ford-econoline-delivery-van-dinty-moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/M2_Details_1964_Ford_Econoline_Delivery_Van_Dinty_Moore_1_64_Die_Cast_Car4.webp?v=1761801791,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-machines-1964-ford-econoline-delivery-van-dinty-moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/M2_Details_1964_Ford_Econoline_Delivery_Van_Dinty_Moore_1_64_Die_Cast_Car1.webp?v=1761801791,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
m2-machines-1964-ford-econoline-delivery-van-dinty-moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0949/7221/5612/files/M2_Details_1964_Ford_Econoline_Delivery_Van_Dinty_Moore_1_64_Die_Cast_Car2.webp?v=1761801791,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,
